ID_Number	Year of catch	Catch date	Mass
1000419	1942	01.aug.42	7700
1000418	1942	01.aug.42	11800
1000423	1942	02.aug.42	2700
1000422	1942	02.aug.42	3200
1000421	1942	02.aug.42	10000
1000425	1942	03.aug.42	9500
1000424	1942	03.aug.42	12200
1000426	1942	06.aug.42	8200
1000427	1942	08.aug.42	8200
1000432	1942	15.aug.42	16800
1000433	1942	15.aug.42	17200
1000438	1942	18.aug.42	8600
1000440	1942	20.aug.42	2300
1000441	1942	21.aug.42	13600
1000445	1942	24.aug.42	3600
1000447	1942	25.aug.42	20400
1000448	1942	29.aug.42	13600
1000452	1942	02.sep.42	15000
1000458	1943	01.jun.43	11300
1000459	1943	01.jun.43	12700
1000460	1943	04.jun.43	14500
1000461	1943	04.jun.43	15000
1000462	1943	05.jun.43	13600
1000463	1943	08.jun.43	18100
1000465	1943	10.jun.43	15000
1000464	1943	10.jun.43	15900
1000466	1943	18.jun.43	20000
1000468	1943	20.jun.43	10900
1000469	1943	20.jun.43	11300
1000467	1943	20.jun.43	18100
1000470	1943	27.jun.43	6400
1000471	1943	27.jun.43	10900
1000472	1943	28.jun.43	9100
1000473	1943	29.jun.43	11800
1000474	1943	30.jun.43	11800
1000476	1943	02.jul.43	10900
1000475	1943	02.jul.43	13600
1000478	1943	03.jul.43	13200
1000477	1943	03.jul.43	13600
1000479	1943	04.jul.43	6800
1000480	1943	05.jul.43	6800
1000482	1943	05.jul.43	6800
1000483	1943	05.jul.43	6800
1000481	1943	05.jul.43	9100
1000484	1943	06.jul.43	8200
1000486	1943	07.jul.43	7700
1000485	1943	07.jul.43	14100
1000488	1943	07.jul.43	17200
1000487	1943	07.jul.43	18100
1000491	1943	08.jul.43	6400
1000492	1943	08.jul.43	8200
1000489	1943	08.jul.43	12700
1000493	1943	08.jul.43	14100
1000490	1943	08.jul.43	17700
1000495	1943	09.jul.43	6400
1000494	1943	09.jul.43	7700
1000496	1943	10.jul.43	13200
1000497	1943	11.jul.43	13200
1000498	1943	12.jul.43	8200
1000499	1943	14.jul.43	14100
1000500	1943	15.jul.43	4500
1000503	1943	17.jul.43	10900
1000508	1943	20.jul.43	2200
1000506	1943	20.jul.43	8200
1000510	1943	22.jul.43	8600
1000509	1943	22.jul.43	13600
1000513	1943	23.jul.43	7700
1000511	1943	23.jul.43	10000
1000512	1943	23.jul.43	19300
1000514	1943	24.jul.43	10000
1000516	1943	25.jul.43	9100
1000515	1943	25.jul.43	13600
1000518	1943	26.jul.43	5400
1000517	1943	26.jul.43	9100
1000524	1943	27.jul.43	10900
1000523	1943	27.jul.43	12200
1000525	1943	28.jul.43	11800
1000526	1943	29.jul.43	9100
1000531	1943	30.jul.43	10900
1000530	1943	30.jul.43	20400
1000533	1943	31.jul.43	12200
1000539	1943	01.aug.43	17200
1000541	1943	04.aug.43	10400
1000542	1943	04.aug.43	11800
1000540	1943	04.aug.43	12200
1000543	1943	05.aug.43	8600
1000545	1943	06.aug.43	7700
1000544	1943	06.aug.43	10400
1000546	1943	07.aug.43	8200
1000549	1943	08.aug.43	6800
1000550	1943	08.aug.43	7300
1000548	1943	08.aug.43	13200
1000547	1943	08.aug.43	17200
1000551	1943	09.aug.43	8200
1000552	1943	10.aug.43	8200
1000553	1943	10.aug.43	12700
1000554	1943	11.aug.43	14500
1000555	1943	12.aug.43	6300
1000556	1943	13.aug.43	8200
1000557	1943	14.aug.43	7700
1000558	1943	15.aug.43	12700
1000559	1943	18.aug.43	8200
1000560	1943	20.aug.43	13600
1000561	1943	21.aug.43	12200
1000562	1943	29.aug.43	12700
1000563	1943	31.aug.43	2300
1000564	1943	05.sep.43	10400
1000565	1943	07.sep.43	9500
1000566	1943	13.sep.43	20400
1000568	1944	06.jun.44	11800
1000570	1944	08.jun.44	10000
1000571	1944	08.jun.44	15400
1000569	1944	08.jun.44	17200
1000572	1944	10.jun.44	19500
1000573	1944	12.jun.44	6600
1000574	1944	13.jun.44	21300
1000575	1944	17.jun.44	10900
1000576	1944	18.jun.44	10900
1000578	1944	20.jun.44	12900
1000579	1944	20.jun.44	20000
1000580	1944	22.jun.44	15400
1000581	1944	24.jun.44	12900
1000582	1944	26.jun.44	14100
1000583	1944	27.jun.44	12700
1000585	1944	28.jun.44	14100
1000584	1944	28.jun.44	15400
